"entity_source","request_type","access_type","start_date","end_date","business_justification","collaborators","approvers","employee_name","employee_position","employee_department","employee_email_address","employee_phone","employee_access","fingerprint","corporate_email","other_access","password_reset","user_identification","asset_name","production_access","production_user_id","production_asset"
"engineering","Create","Permanent","","","Lorem ipsum","Siapa ya","squidward@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area,business operations,it operations,server room,archive room,engineering area","-","internet access, slack access, vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","Create","Permanent","","","Lorem ipsum","Siapa ya","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","party area","-","internet access, slack access, vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","Create","Permanent","","","","Siapa ya","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area","-","internet access, slack access, vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","Create","Permanent","","","Lorem ipsum","Siapa ya","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area","-","bathroom access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","Create","confuse","","","Lorem ipsum","Siapa ya","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area","-","vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","Create","","","","Lorem ipsum","Siapa ya","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area","-","vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","confuse","Permanent","","","Lorem ipsum","Siapa ya","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area","-","vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","","Permanent","","","Lorem ipsum","Siapa ya","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area","-","vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","Create","Permanent","","","Lorem ipsum","","","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area","-","vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
"engineering","Create","Temporary","","","Lorem ipsum","patrick.star@gmail.com","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","","","","","","","","","",""
"engineering","Create","Temporary","error","error","Lorem ipsum","patrick.star@gmail.com","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","","","","","","","","","",""
"yanglain","Create","Permanent","","","Lorem ipsum","","patrick.star@gmail.com","Budi","SE","Engineer","Budi@gmail.com","14045","1","business area","-","vpn access","1","gatau ini apa","apa lagi ini","1","Ini apa pula","apa ini yaampun"
